NAME1,NAME2,TYPE,ID
AEROCARIBBEAN AIRLINES,AERO-CARIBBEAN,C,36
"ANGLO-CARIBBEAN CO., LTD.",AVIA IMPORT,C,173
BANCO NACIONAL DE CUBA,NATIONAL BANK OF CUBA,C,306
"COMERCIAL IBEROAMERICANA, S.A.",COIBA,C,540
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CRYMSA,C,552
COMERCIALIZACION DE PRODUCTOS VARIOS,COPROVA,C,555
COMERCIALIZACION DE PRODUCTOS VARIOS,COPROVA SARL,C,555
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,CIMEX,C,559
"DELVEST HOLDING, S.A.",DELVEST HOLDING COMPANY,C,651
EMPRESA CUBANA DE AVIACION,CUBANA AIRLINES,C,735
EMPRESA CUBANA DE PESCADOS Y MARISCOS,CARIBBEAN EXPORT ENTERPRISE,C,751
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,CUBATUR,C,758
"GALAX TRADING CO., LTD.",GALAX INC.,C,815
HAVIN BANK LIMITED,"HAVANA INTERNATIONAL BANK, LTD",C,906
LA EMPRESA CUBANA DE FLETES,CUFLET,C,1287
LA EMPRESA CUBANA DE FLETES,CUBAN FREIGHT ENTERPRISE,C,1287
"TROBER, S.A.","TROVER, S.A.",C,2109
TROPIC TOURS GMBH,TROPICANA TOURS GMBH,C,2110
LA COMPANIA GENERAL DE NIQUEL,GENERAL NICKEL SA,C,3749
BANK MARKAZI JOMHOURI ISLAMI IRAN,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN,C,4632
BANK MARKAZI JOMHOURI ISLAMI IRAN,BANK MARKAZI IRAN,C,4632
BANK MARKAZI JOMHOURI ISLAMI IRAN,CENTRAL BANK OF IRAN,C,4632
BANK MASKAN,HOUSING BANK - OF IRAN,C,4633
BANK REFAH KARGARAN,WORKERS' WELFARE BANK - OF IRAN,C,4635
BANK REFAH KARGARAN,BANK REFAH,C,4635
BANK KESHAVARZI IRAN,AGRICULTURAL BANK OF IRAN,C,4639
BANK KESHAVARZI IRAN,BANK KESHAVARZI,C,4639
BANK SADERAT PLC,IRAN OVERSEAS INVESTMENT BANK PLC,C,4642
BANK SADERAT PLC,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,C,4642
BANK SADERAT PLC,IRAN OVERSEAS INVESTMENT BANK LIMITED,C,4642
ABU SAYYAF GROUP,AL HARAKAT AL ISLAMIYYA,C,4688
ARMED ISLAMIC GROUP,GROUPEMENT ISLAMIQUE ARME,C,4690
ARMED ISLAMIC GROUP,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,C,4690
AUM SHINRIKYO,AUM SUPREME TRUTH,C,4691
AUM SHINRIKYO,A.I.C. SOGO KENKYUSHO,C,4691
AUM SHINRIKYO,A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,C,4691
AUM SHINRIKYO,ALEPH,C,4691
EUZKADI TA ASKATASUNA,BASQUE FATHERLAND AND LIBERTY,C,4693
EUZKADI TA ASKATASUNA,BATASUNA,C,4693
EUZKADI TA ASKATASUNA,EUSKAL HERRITARROK,C,4693
EUZKADI TA ASKATASUNA,HERRI BATASUNA,C,4693
EUZKADI TA ASKATASUNA,ASKATASUNA,C,4693
EUZKADI TA ASKATASUNA,EKIN,C,4693
EUZKADI TA ASKATASUNA,XAKI,C,4693
EUZKADI TA ASKATASUNA,JARRAI-HAIKA-SEGI,C,4693
EUZKADI TA ASKATASUNA,EPANASTATIKI PIRINES,C,4693
EUZKADI TA ASKATASUNA,POPULAR REVOLUTIONARY STRUGGLE,C,4693
GAMA'A AL-ISLAMIYYA,ISLAMIC GROUP,C,4694
